name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,skimmed_dataset,globalTag,isData,generator
ttbar_incl,/TT_TuneCUETP8M2T4_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,77229341,1,831.76,0.01077,/TT_TuneCUETP8M2T4_13TeV-powheg-pythia8/hmildner-Skim_3j20_1l20-06e3217e4d881441050d61cf53a784f5/USER,80X_mcRun2_asymptotic_2016_TrancheIV_v7,FALSE,Powheg
st_tchan,/ST_t-channel_top_4f_inclusiveDecays_TuneCUETP8M2T4_13TeV-powhegV2-madspin/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,5993676,1,136.02,0.0226939194,/ST_t-channel_top_4f_inclusiveDecays_TuneCUETP8M2T4_13TeV-powhegV2-madspin/hmildner-Skim_3j20_1l20_fix3-06e3217e4d881441050d61cf53a784f5/USER,80X_mcRun2_asymptotic_2016_TrancheIV_v7,FALSE,NA
stbar_tchan,/ST_t-channel_antitop_4f_inclusiveDecays_TuneCUETP8M2T4_13TeV-powhegV2-madspin/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,3928063,1,80.95,0.0206081216,/ST_t-channel_antitop_4f_inclusiveDecays_TuneCUETP8M2T4_13TeV-powhegV2-madspin/hmildner-Skim_3j20_1l20-06e3217e4d881441050d61cf53a784f5/USER,80X_mcRun2_asymptotic_2016_TrancheIV_v7,FALSE,NA
stbar_tWchan,/ST_tW_antitop_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM,6933094,1,35.85,0.0051708516,/ST_tW_antitop_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1/hmildner-Skim_3j20_1l20-06e3217e4d881441050d61cf53a784f5/USER,80X_mcRun2_asymptotic_2016_TrancheIV_v7,FALSE,NA
st_tWchan,/ST_tW_top_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM,6952830,1,35.85,0.00516,/ST_tW_top_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1/hmildner-Skim_3j20_1l20-06e3217e4d881441050d61cf53a784f5/USER,80X_mcRun2_asymptotic_2016_TrancheIV_v7,FALSE,NA
st_schan,/ST_s-channel_4f_leptonDecays_13TeV-amcatnlo-pythia8_TuneCUETP8M1/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,1000000,0.623,3.44,0.00552,/ST_s-channel_4f_leptonDecays_13TeV-amcatnlo-pythia8_TuneCUETP8M1/hmildner-Skim_3j20_1l20-06e3217e4d881441050d61cf53a784f5/USER,80X_mcRun2_asymptotic_2016_TrancheIV_v7,FALSE,NA
wjets_ht70,/WjetsToLNu_HT-70To100_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,10094300,1,1319,0.13067,/WJetsToLNu_HT-70To100_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/hmildner-Skim_3j20_1l20-06e3217e4d881441050d61cf53a784f5/USER,80X_mcRun2_asymptotic_2016_TrancheIV_v7,FALSE,NA
wjets_ht100,/WjetsToLNu_HT-100To200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM:/WjetsToLNu_HT-100To200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext2-v1/MINIAODSIM:/WjetsToLNu_HT-100To200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,79356685,1,1345,0.01695,/WJetsToLNu_HT-100To200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/hmildner-Skim_3j20_1l20-06e3217e4d881441050d61cf53a784f5/USER,80X_mcRun2_asymptotic_2016_TrancheIV_v7,FALSE,NA
wjets_ht200,/WjetsToLNu_HT-200To400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM:/WjetsToLNu_HT-200To400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext2-v1/MINIAODSIM:/WjetsToLNu_HT-200To400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,39680891,1,359.7,0.00906,/WJetsToLNu_HT-200To400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/hmildner-Skim_3j20_1l20-06e3217e4d881441050d61cf53a784f5/USER,80X_mcRun2_asymptotic_2016_TrancheIV_v7,FALSE,NA
wjets_ht400,/WjetsToLNu_HT-400To600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM:/WjetsToLNu_HT-400To600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM:/WjetsToLNu_HT-400To600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSI,7759701,1,48.91,0.0063,/WJetsToLNu_HT-400To600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/hmildner-Skim_3j20_1l20-06e3217e4d881441050d61cf53a784f5/USER,80X_mcRun2_asymptotic_2016_TrancheIV_v7,FALSE,NA
wjets_ht600,/WjetsToLNu_HT-600To800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM:/WjetsToLNu_HT-600To800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,18687480,1,12.05,0.00064,/WJetsToLNu_HT-600To800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/hmildner-Skim_3j20_1l20-06e3217e4d881441050d61cf53a784f5/USER,80X_mcRun2_asymptotic_2016_TrancheIV_v7,FALSE,NA
wjets_ht800,/WjetsToLNu_HT-800To1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM:/WjetsToLNu_HT-800To1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,7745467,1,5.501,0.00071,/WJetsToLNu_HT-800To1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/hmildner-Skim_3j20_1l20-06e3217e4d881441050d61cf53a784f5/USER,80X_mcRun2_asymptotic_2016_TrancheIV_v7,FALSE,NA
wjets_ht1200,/WjetsToLNu_HT-1200To2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM:/WjetsToLNu_HT-1200To2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM,6872441,1,1.329,0.00019,/WJetsToLNu_HT-1200To2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/hmildner-Skim_3j20_1l20-06e3217e4d881441050d61cf53a784f5/USER,80X_mcRun2_asymptotic_2016_TrancheIV_v7,FALSE,NA
wjets_ht2500,/WjetsToLNu_HT-2500ToInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM:/WjetsToLNu_HT-2500ToInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,2637821,1,0.03216,0.0000122,/WJetsToLNu_HT-2500ToInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/hmildner-Skim_3j20_1l20-06e3217e4d881441050d61cf53a784f5/USER,80X_mcRun2_asymptotic_2016_TrancheIV_v7,FALSE,NA
zjets_m10,/DYJetsToLL_M-10to50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,35291566,1,18610,0.52732,/DYJetsToLL_M-10to50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/hmildner-Skim_3j20_1l20-06e3217e4d881441050d61cf53a784f5/USER,80X_mcRun2_asymptotic_2016_TrancheIV_v7,FALSE,NA
zjets_m50,/DYJetsToLL_M-50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v2/MINIAODSIM,49144274,1,5765.4,0.11732,/DYJetsToLL_M-50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/hmildner-Skim_3j20_1l20-06e3217e4d881441050d61cf53a784f5/USER,80X_mcRun2_asymptotic_2016_TrancheIV_v7,FALSE,NA
data_el,/SingleElectron/Run2016C-23Sep2016-v1/MINIAOD:/SingleElectron/Run2016D-23Sep2016-v1/MINIAOD:/SingleElectron/Run2016E-23Sep2016-v1/MINIAOD:/SingleElectron/Run2016F-23Sep2016-v1/MINIAOD:/SingleElectron/Run2016G-23Sep2016-v1/MINIAOD,1,-1,1,/SingleElectron/hmildner-Skim_fixed2_3j20_1l20-dadd049d00fa0c44d7211d484b1b9995/USER,80X_dataRun2_2016SeptRepro_v6,TRUE,NA
data_el_prompt,/SingleElectron/Run2016C-23Sep2016-v1/MINIAOD:/SingleElectron/Run2016D-23Sep2016-v1/MINIAOD:/SingleElectron/Run2016E-23Sep2016-v1/MINIAOD:/SingleElectron/Run2016F-23Sep2016-v1/MINIAOD:/SingleElectron/Run2016G-23Sep2016-v1/MINIAOD,97259854,1,-1,1,/SingleElectron/hmildner-Skim_fixed2_prompt_3j20_1l20-3d7b0694be99324a21d6777a1f225210/USER,80X_dataRun2_Prompt_v15,TRUE,NA
data_el_runB,/SingleElectron/Run2016B-23Sep2016-v3/MINIAOD,97259854,1,-1,1,/SingleElectron/hmildner-Skim_fixed3_3j20_1l20-dadd049d00fa0c44d7211d484b1b9995/USER,80X_dataRun2_2016SeptRepro_v6,TRUE,NA
data_mu,/SingleMuon/Run2016B-23Sep2016-v3/MINIAOD:/SingleMuon/Run2016C-23Sep2016-v1/MINIAOD:/SingleMuon/Run2016D-23Sep2016-v1/MINIAOD:/SingleMuon/Run2016E-23Sep2016-v1/MINIAOD:/SingleMuon/Run2016F-23Sep2016-v1/MINIAOD:/SingleMuon/Run2016G-23Sep2016-v1/MINIAOD,67441308,1,-1,1,/SingleMuon/hmildner-Skim_fixed2_3j20_1l20-dadd049d00fa0c44d7211d484b1b9995/USER,80X_dataRun2_2016SeptRepro_v6,TRUE,NA
data_mu_prompt,/SingleMuon/Run2016H-PromptReco-v2/MINIAOD:/SingleMuon/Run2016H-PromptReco-v3/MINIAOD,67441308,1,-1,1,/SingleMuon/hmildner-Skim_fixed2_prompt_3j20_1l20-3d7b0694be99324a21d6777a1f225210/USER,80X_dataRun2_Prompt_v15,TRUE,NA
